Data,Zamkniecie
2019-12-12,7243.13436273
2019-12-13,7269.68455922
2019-12-14,7124.67396997
2019-12-15,7152.30184412
2019-12-16,6932.48038982
2019-12-17,6640.51524608
2019-12-18,7276.80277047
2019-12-19,7202.84436364
2019-12-20,7218.81638679
2019-12-21,7191.15846913
2019-12-22,7511.58904232
2019-12-23,7355.62826671
2019-12-24,7322.5324589
2019-12-25,7275.15572845
2019-12-26,7238.96702501
2019-12-27,7290.08851803
2019-12-28,7317.99003408
2019-12-29,7422.65258898
2019-12-30,7292.99507783
2019-12-31,7193.59897843
2020-01-01,7200.17439274
2020-01-02,6985.47000061
2020-01-03,7344.88418341
2020-01-04,7410.65656642
2020-01-05,7411.31732676
2020-01-06,7769.21903905
2020-01-07,8163.69223944
2020-01-08,8079.86277673
2020-01-09,7879.07152428
2020-01-10,8166.55414039
2020-01-11,8037.53738872
2020-01-12,8192.49400532
2020-01-13,8144.19451744
2020-01-14,8827.76442606
2020-01-15,8807.01027532
2020-01-16,8723.78576573
2020-01-17,8929.0376776
2020-01-18,8942.80890321
2020-01-19,8706.24512993
2020-01-20,8657.64293942
2020-01-21,8745.89478833
2020-01-22,8680.87604222
2020-01-23,8406.5160678
2020-01-24,8445.43428152
2020-01-25,8367.84777344
2020-01-26,8596.82983316
2020-01-27,8909.81917753
2020-01-28,9358.59031703
2020-01-29,9316.62950445
2020-01-30,9508.9935947
2020-01-31,9350.52936518
2020-02-01,9392.87536841
2020-02-02,9344.36529292
2020-02-03,9293.52108908
2020-02-04,9180.9629665
2020-02-05,9613.42428895
2020-02-06,9729.80223149
2020-02-07,9795.94377253
2020-02-08,9865.11946905
2020-02-09,10116.673759
2020-02-10,9856.61149362
2020-02-11,10208.2362609
2020-02-12,10326.0545246
2020-02-13,10214.3794638
2020-02-14,10312.1160909
2020-02-15,9889.42462838
2020-02-16,9934.43339025
2020-02-17,9690.14261814
2020-02-18,10141.9963705
2020-02-19,9633.38688518
2020-02-20,9608.47590343
2020-02-21,9686.44119763
2020-02-22,9663.18182933
2020-02-23,9924.51522822
2020-02-24,9650.17480677
2020-02-25,9341.70516876
2020-02-26,8820.52220005
2020-02-27,8784.49384867
2020-02-28,8672.45534996
2020-02-29,8599.50861972
2020-03-01,8562.45405008
2020-03-02,8869.67031078
2020-03-03,8787.78645576
2020-03-04,8755.24589461
2020-03-05,9078.76279174
2020-03-06,9122.54557333
2020-03-07,8909.9536515
2020-03-08,8108.11629101
2020-03-09,7923.6447033
2020-03-10,7909.72939346
2020-03-11,7911.43012933
2020-03-12,4970.78790105
2020-03-13,5563.70689169
2020-03-14,5200.36626392
2020-03-15,5392.31488002
2020-03-16,5014.47997748
2020-03-17,5225.62919259
2020-03-18,5238.43857664
2020-03-19,6191.19295222
2020-03-20,6198.77820508
2020-03-21,6185.06651501
2020-03-22,5830.25479765
2020-03-23,6416.31475839
2020-03-24,6734.80378045
2020-03-25,6681.06312656
2020-03-26,6716.44054866
2020-03-27,6469.79813509
2020-03-28,6242.1938684
2020-03-29,5922.0431227
2020-03-30,6429.84193389
2020-03-31,6438.64476637
2020-04-01,6606.77626829
2020-04-02,6793.62459642
2020-04-03,6733.3873906
2020-04-04,6867.52731596
2020-04-05,6791.12944093
2020-04-06,7271.7811527
2020-04-07,7176.41450049
2020-04-08,7334.09845346
2020-04-09,7302.0895105
2020-04-10,6865.49337195
2020-04-11,6859.08296343
2020-04-12,6971.09159108
2020-04-13,6845.03769683
2020-04-14,6842.42786097
2020-04-15,6642.10989286
2020-04-16,7116.80421777
2020-04-17,7096.18465879
2020-04-18,7257.66485847
2020-04-19,7189.42482356
2020-04-20,6881.95869275
2020-04-21,6880.32347375
2020-04-22,7117.20747869
2020-04-23,7429.72464927
2020-04-24,7550.90102725
2020-04-25,7569.93603405
2020-04-26,7679.86720422
2020-04-27,7795.60083451
2020-04-28,7807.05845106
2020-04-29,8801.03776688
2020-04-30,8658.55417975
2020-05-01,8864.76680793
2020-05-02,8988.5962069
2020-05-03,8897.46850985
2020-05-04,8912.65460539
2020-05-05,9003.07017834
2020-05-06,9268.76208066
2020-05-07,9951.5187451
2020-05-08,9842.66636785
2020-05-09,9593.89673363
2020-05-10,8756.43114193
2020-05-11,8601.79620238
2020-05-12,8804.47781074
2020-05-13,9269.98770576
2020-05-14,9733.72147137
2020-05-15,9328.19722645
2020-05-16,9377.0140257
2020-05-17,9670.73937122
2020-05-18,9726.5748149
2020-05-19,9729.0379192
2020-05-20,9522.98115678
2020-05-21,9081.76202252
2020-05-22,9182.57751787
2020-05-23,9209.28742769
2020-05-24,8790.36800074
2020-05-25,8906.93476142
2020-05-26,8835.05306073
2020-05-27,9181.01794762
2020-05-28,9525.7510947
2020-05-29,9439.12439045
2020-05-30,9700.41407169
2020-05-31,9461.05891806
2020-06-01,10167.2681012
2020-06-02,9529.80414872
2020-06-03,9656.71776526
2020-06-04,9800.63659532
2020-06-05,9665.53278908
2020-06-06,9653.67926335
2020-06-07,9758.8524174
2020-06-08,9771.48948366
2020-06-09,9795.70019463
2020-06-10,9870.09445278
2020-06-11,9321.78129819
2020-06-12,9480.84378943
2020-06-13,9475.27733834
2020-06-14,9386.78789214
2020-06-15,9450.70198692
2020-06-16,9538.0243743
2020-06-17,9480.25536624
2020-06-18,9411.84046197
2020-06-19,9288.01871603
2020-06-20,9332.340762
2020-06-21,9303.62971409
2020-06-22,9648.71760979
2020-06-23,9629.65836578
2020-06-24,9313.61034868
2020-06-25,9264.81304308
2020-06-26,9162.91760386
2020-06-27,9045.39095672
2020-06-28,9143.58219104
2020-06-29,9190.85446467
2020-06-30,9137.99340026
2020-07-01,9228.32559024
2020-07-02,9123.41015432
2020-07-03,9087.30391103
2020-07-04,9132.48795051
2020-07-05,9073.94286936
2020-07-06,9375.47475925
2020-07-07,9252.27750386
2020-07-08,9428.3330848
2020-07-09,9277.96790642
2020-07-10,9278.8078672
2020-07-11,9240.34632654
2020-07-12,9276.49985018
2020-07-13,9243.61385509
2020-07-14,9243.21341642
2020-07-15,9192.83736784
2020-07-16,9132.22786293
2020-07-17,9151.39223963
2020-07-18,9159.03990531
2020-07-19,9185.81691242
2020-07-20,9164.2313647
2020-07-21,9374.88752808
2020-07-22,9525.36344997
2020-07-23,9581.07201141
2020-07-24,9536.89268563
2020-07-25,9677.11349729
2020-07-26,9905.16724705
2020-07-27,10990.8733998
2020-07-28,10912.8230505
2020-07-29,11100.4681253
2020-07-30,11111.2142899
2020-07-31,11323.4664207
2020-08-01,11759.5927707
2020-08-02,11053.613901
2020-08-03,11246.3487749
2020-08-04,11205.8929179
2020-08-05,11747.0228312
2020-08-06,11779.7732574
2020-08-07,11601.4727146
2020-08-08,11754.0458135
2020-08-09,11675.7393433
2020-08-10,11878.1113253
2020-08-11,11410.5256775
2020-08-12,11584.9345762
2020-08-13,11784.1373895
2020-08-14,11768.8706193
2020-08-15,11865.69857
2020-08-16,11892.8040631
2020-08-17,12254.4019083
2020-08-18,11991.2332456
2020-08-19,11758.2835921
2020-08-20,11878.3716211
2020-08-21,11592.4890449
2020-08-22,11681.8255623
2020-08-23,11664.8479948
2020-08-24,11774.5958414
2020-08-25,11366.1350817
2020-08-26,11488.3634896
2020-08-27,11323.3970324
2020-08-28,11542.4997333
2020-08-29,11506.8653177
2020-08-30,11711.506161
2020-08-31,11680.8204905
2020-09-01,11970.4787405
2020-09-02,11414.0337325
2020-09-03,10245.296686
2020-09-04,10511.8138807
2020-09-05,10169.567221
2020-09-06,10280.3517032
2020-09-07,10369.5637386
2020-09-08,10131.5166457
2020-09-09,10242.3477803
2020-09-10,10363.1390401
2020-09-11,10400.9146854
2020-09-12,10442.1706031
2020-09-13,10323.7557975
2020-09-14,10680.8374328
2020-09-15,10796.9509861
2020-09-16,10974.9048915
2020-09-17,10948.9899152
2020-09-18,10944.5858045
2020-09-19,11094.3462761
2020-09-20,10938.2712894
2020-09-21,10462.2596185
2020-09-22,10538.4603213
2020-09-23,10246.18649281
2020-09-24,10760.06625677
2020-09-25,10692.71721234
2020-09-26,10750.72357903
2020-09-27,10775.26937624
2020-09-28,10709.65218175
2020-09-29,10844.64098118
2020-09-30,10784.49157795
